woolworths beef soup bones, 5.95,  1kg, 6.19, 1.04kg, 1
created with jamie beef burgers mexican style, 15.98,  1kg, 7.99, 500g, 1
beef diced heart smart, 17.35,  1kg, 8.68, 500g, 1
msa australian beef diced slow cook, 12.99,  1kg, 7.79, 600g, 1
woolworths beef diced bulgolgi, INVALID_ENTRY, INVALID_ENTRY, 8.99, ach, 1
woolworths beef diced shredded slow cooked bbq, 27.96,  1kg, 6.99, 250g, 1
created with jamie meatballs beef and wagyu chorizo, 12.48,  1kg, 7.49, 600g, 1
quick cook meatballs beef, 14.0, 0.1KG, 6.99, 500g, 1
jamie mighty meatloaf, 12.93,  1kg, 10.99, 850g, 1
beef mince heart smart, 14.00,  1kg, 14.00, 1kg, 1
macro grass fed premium mince beef, 15.99,  1kg, 8.00, 500g, 1
beef offal heart, 4.69,  1kg, 2.49, 530g, 1
beef offal tail, 8.99,  1kg, 4.67, 520g, 1
macro  beef eye fillet steak, 45.99,  1kg, 13.80, 300g, 1
macro  beef mince heart smart, 19.98,  1kg, 8.99, 450g, 1
macro  beef mince premium, 14.99,  1kg, 7.50, 500g, 1
macro  beef rump steak, 25.99,  1kg, 9.10, 350g, 1
macro  beef schnitzel, 37.98,  1kg, 7.79, 410g, 1
macro  beef scotch fillet, 33.99,  1kg, 11.90, 350g, 1
macro  beef stir fry, 18.99,  1kg, 7.98, 420g, 1
woolworths  ready to bbq ribs fingers boneless beef, 13.99,  1kg, 12.59, 900g, 1
aussie beef cattlemen roast spare ribs, 11.99,  1kg, 10.07, 840g, 1
australian beef roast butterflied, 19.99,  1kg, 17.99, 900g, 1
beef roast classic marinated, 13.99,  1kg, 16.23, 1.16kg, 1
beef roast garlic and onion, 13.99,  1kg, 17.63, 1.26kg, 1
beef roast thyme and black pepper, 13.99,  1kg, 16.37, 1.17kg, 1
beef roast topside heart smart, 13.99,  1kg, 12.59, 900g, 1
msa australian beef roast pepper, 14.99,  1kg, 12.59, 840g, 1
msa australian beef blade roast foil tray, 11.99,  1kg, 15.59, 1.3kg, 1
msa australian beef rib roast, 21.99,  1kg, 24.19, 1.1kg, 1
beef corned silverside, 7.99,  1kg, 18.30, 2.29kg, 1
beef corned silverside heart smart, 10.99,  1kg, 11.87, 1.08kg, 1
beef corned silverside small, 7.99,  1kg, 12.54, 1.57kg, 1
roast beef silverside foil tray, 9.99,  1kg, 10.99, 1.1kg, 1
msa australian beef chuck slow cook, 11.99,  1kg, 6.00, 500g, 1
msa australian gravy beef slow cook, 11.19,  1kg, 8.95, 800g, 1
beef blade steak bone in, 9.99,  1kg, 8.99, 900g, 1
beef porterhouse steak, 22.99,  1kg, 20.69, 900g, 1
beef porterhouse steak market value, 22.99,  1kg, 10.35, 450g, 1
beef round steak bbq heart smart, 15.99,  1kg, 13.27, 830g, 1
beef rump steak, 15.99,  1kg, 14.39, 900g, 1
beef rump steak market value, 15.99,  1kg, 8.00, 500g, 1
beef schnitzel steak heart smart, 20.99,  1kg, 11.96, 570g, 1
macro grass fed beef steak eye fillet, 47.99,  1kg, 12.00, 250g, 1
macro grass fed beef steak scotch fillet, 36.99,  1kg, 7.77, 210g, 1
msa australian beef fillet steak, 41.79,  1kg, 17.55, 420g, 1
msa australian beef steak oyster blade, 13.59,  1kg, 8.15, 600g, 1
msa australian beef steak porterhouse, 19.99,  1kg, 4.00, 200g, 1
msa australian beef steak porterhouse, 19.99,  1kg, 8.40, 420g, 1
msa australian beef steak porterhouse 3pk, 24.99,  1kg, 19.99, 840g, 1
msa australian beef steak scotch fillet, 29.99,  1kg, 16.49, 550g, 1
msa australian beef steak scotch fillet, 29.99,  1kg, 7.50, 250g, 1
msa australian beef steak t-bone, 16.99,  1kg, 16.99, 1kg, 1
msa australian beef steak t-bone, 16.99,  1kg, 5.10, 300g, 1
msa australian beef blade steak boneless, 13.99,  1kg, 9.79, 700g, 1
msa australian beef rib steak bone in, 23.99,  1kg, 23.99, 1kg, 1
msa australian beef rump steak, 16.99,  1kg, 8.50, 500g, 1
peppered beef steak, 33.98,  1kg, 7.65, 450g, 1
woolworths steak sizzle, 20.75,  1kg, 7.99, 385g, 1
beef stirfry heart smart, 17.35,  1kg, 8.68, 500g, 1
woolworths australian stirfry beef, 16.00,  1kg, 8.00, 500g, 1
