stone baked turkish rolls 3 pack, 1.33 , kg, 4.00, 3pk, 1
stone baked pane di casa rolls 4 pack, 1.05 , kg, 4.20, 4pk, 1
rustic baguette 300g, 6.7, kg, 2.00, 0.3kg, 1
rustic rolls 4 pack, 0.88 , kg, 3.50, 4pk, 1
white sourdough vienna 550g, 7.3, kg, 4.00, 0.55kg, 1
stone baked multigrain sourdough cobb 500g, 8.0, kg, 4.00, 0.5kg, 1
stone baked light rye sourdough vienna 550g, 7.3, kg, 4.00, 0.55kg, 1
stone baked pane di casa 500g, 8.0, kg, 4.00, 0.5kg, 1
stone baked kalamata olive batard 300g, 13.3, kg, 4.00, 0.3kg, 1
sunflower triangle rolls 4 pack, 0.88 , kg, 3.50, 4pk, 1
stone baked turkish bread 400g, 10.0, kg, 4.00, 0.4kg, 1
gourmet pizza bases 2 pack 440g, 13.6, kg, 5.99, 0.44kg, 1
white bread 650g, 1.3, kg, 0.85, 0.65kg, 1
sliced white bread 700g, 2.9, kg, 2.00, 0.7kg, 1
mixed grain bread 850g, 4.1, kg, 3.50, 0.85kg, 1
wholemeal sliced bread 700g, 2.9, kg, 2.00, 0.7kg, 1
white toast bread 650g, 1.3, kg, 0.85, 0.65kg, 1
raisin toast bread 520g, 10.0, kg, 5.20, 0.52kg, 1
light rye bread 680g, 5.1, kg, 3.50, 0.68kg, 1
the one omega 3 sandwich bread 700g, 4.3, kg, 3.00, 0.7kg, 1
madeira cake 450g, 7.0, kg, 3.15, 0.45kg, 1
mini jam sponge roll 6 pack, 0.50 , kg, 3.00, 6pk, 1
mini croissants 8 pack, 0.38 , kg, 3.00, 8pk, 1
four seed bread 450g, 11.1, kg, 4.99, 0.45kg, 1
lower carb 5 seed bread loaf 700g, 7.8, kg, 5.49, 0.7kg, 1
round plain pizza base 200 g, 15.0, kg, 3.00, NA, 1
spicy fruit bread 650g, 8.6, kg, 5.60, 0.65kg, 1
9 grain pumpkin seed bread 700g, 4.3, kg, 3.00, 0.7kg, 1
soft sourdough wraps 6 pack 260g, 15.3, kg, 3.99, 0.26kg, 1
farmhouse wholemeal bread 750g, 4.5, kg, 3.40, 0.75kg, 1
chocolate chip muffins 4 pack, 1.13 , kg, 4.50, 4pk, 1
turkish bread rolls 4 pack 480g, 13.5, kg, 6.50, 0.48kg, 1
caramel cake bars 130g, NA, kg, N, 0.13kg, A
lamington bites 585g, 10.3, kg, 6.00, 0.585kg, 1
crumpet snaps 6 pack 6 pack, 0.42 , kg, 2.50, 6pk, 1
multigrain dinner rolls 6 pack, 3.00 , kg, 3.00, 6pk, 1
mini fruit hot cross buns 9 pack, 0.39 , kg, 3.50, 9pk, 1
jam sponge roll 400g, 7.5, kg, 3.00, 0.4kg, 1
mini iced cupcakes 9 pack, 0.52 , kg, 4.65, 9pk, 1
dark fruit cake 800g, 6.4, kg, 5.15, 0.8kg, 1
tiger rolls 6 pack, 0.33 , kg, 2.00, 6pk, 1
lemon madeira cake 315g, 10.0, kg, 3.15, 0.315kg, 1
lamington 6 pack 300g, 12.5, kg, 3.75, 0.3kg, 1
white wraps 4 pack, 1.25 , kg, 5.00, 4pk, 1
lamington fingers 24 pack 465g, 7.1, kg, 3.30, 0.465kg, 1
white bread gluten and wheat free 625g, 10.7, kg, 6.69, 0.625kg, 1
banana chocolate chip muffin bites 190g, 26315.8, kg, 5.00, 0.19kg, 1
chocolate fudge brownie muffin bites 240g, 0.2, kg, 5.00, 0.24kg, 1
wholegrain wraps 8 pack 560g, 9.1, kg, 5.09, 0.56kg, 1
sunflower and red quinoa bread gluten free, 12.1, kg, 6.99, NA, 1
lower carb sunflower and golden linseed bread loaf 700g, 7.8, kg, 5.49, 0.7kg, 1
traditional white bread 800g, 7.2, kg, 5.79, 0.8kg, 1
wholemeal cedar pita bread 5 pack 5 pack, 3.4, kg, 1.35, 5pk, 1
cafe style raisin toast bread 650g, 8.3, kg, 5.40, 0.65kg, 1
multigrain bread gluten free 400g, 13.8, kg, 5.50, 0.4kg, 1
hamburger buns gluten free 3 pack, 1.83 , kg, 5.50, 3pk, 1
mini sunblest white bread 400g, 6.3, kg, 2.50, 0.4kg, 1
harvest seeds and grains bread 750g, 4.5, kg, 3.40, 0.75kg, 1
rustic white bread 750g, 4.5, kg, 3.40, 0.75kg, 1
traditional chapati 6 pack 280g, 11.3, kg, 3.15, 0.28kg, 1
plain bagels 4 pack, 1.35 , kg, 5.39, 4pk, 1
wholemeal pizza bases 12 inch 2 pack 440g, 13.6, kg, 5.99, 0.44kg, 1
gourmet mini pizza bases 3 pack 500g, 16.0, kg, 7.99, 0.5kg, 1
turkish pide bread 450g, 11.1, kg, 4.99, 0.45kg, 1
stoneground wholemeal bread yeast free 620g, 9.7, kg, 6.00, 0.62kg, 1
country split wholemeal bread 450g, 8.4, kg, 3.79, 0.45kg, 1
wholemeal round rolls 6 pack, 0.58 , kg, 3.50, 6pk, 1
lemon slice 175g, 27.1, kg, 4.75, 0.175kg, 1
white entertainer rolls 4 pack, 0.75 , kg, 3.00, 4pk, 1
white dinner rolls 6 pack, 0.50 , kg, 3.00, 6pk, 1
thin and crispy medium pizza base 9 inch 200g, 15.0, kg, 3.00, 0.2kg, 1
thin and crispy large pizza base 12 inch 750g, 8.0, kg, 6.00, 0.75kg, 1
white soft wraps 8 pack 416g, 7.2, kg, 3.00, 0.416kg, 1
lite soft white wraps 8 pack 416g, 7.2, kg, 3.00, 0.416kg, 1
multigrain sandwich bread loaf 680g, 2.9, kg, 2.00, 0.68kg, 1
white sandwich bread loaf 680g, 2.9, kg, 2.00, 0.68kg, 1
mud cake 600g, 10.0, kg, 6.00, 0.6kg, 1
apple tea cake 375g, 14.0, kg, 5.25, 0.375kg, 1
mini chocolate sponge roll 6 pack, 0.50 , kg, 3.00, 6pk, 1
chocolate chip cookies 6 pack, 0.58 , kg, 3.50, 6pk, 1
vanilla slice 2 pack, 2.25 , kg, 4.50, 2pk, 1
banana loaf cake 300g, 16.7, kg, 5.00, 0.3kg, 1
chia and seed bread 450g, 14.4, kg, 6.49, 0.45kg, 1
multigrain bread gluten free 580g, 11.5, kg, 6.69, 0.58kg, 1
white wraps 8 pack 560g, 9.1, kg, 5.09, 0.56kg, 1
wholemeal pita pockets 6 pack 250g, 8.0, kg, 1.99, 0.25kg, 1
white pita khobz 5 pack 500g, 7.7, kg, 3.85, 0.5kg, 1
raisin toast bread 600g, 8.8, kg, 5.25, 0.6kg, 1
zesty garlic and herb wraps 8 pack 567g, 8.8, kg, 4.99, 0.567kg, 1
organic rye oat and linseed wrap 225g, 22.7, kg, 5.10, 0.225kg, 1
double chocolate chip muffins 4 pack, 1.13 , kg, 4.50, 4pk, 1
multi fruit sourdough bread 660g, 12.1, kg, 7.99, 0.66kg, 1
country split white bread 450g, 8.4, kg, 3.79, 0.45kg, 1
banana muffin bars 10 pack 450g, 13.3, kg, 6.00, 0.45kg, 1
choc chip muffin bars 10 pack 450g, 13.3, kg, 6.00, 0.45kg, 1
caramel slice 175g, 27.1, kg, 4.75, 0.175kg, 1
meringue nest 10 pack 100g, 0.55 , kg, 5.50, 0.1kg, 1
melting moments 8 pack, 0.56 , kg, 4.50, 8pk, 1
jam lamingtons 6 pack 350g, 10.7, kg, 3.75, 0.35kg, 1
fruit free hot cross buns 6 pack, 0.58 , kg, 3.50, 6pk, 1
white chocolate and raspberry muffins 2 pack, 2.00 , kg, 4.00, 2pk, 1
banana and caramel muffins 2 pack, 2.00 , kg, 4.00, 2pk, 1
25% chocolate hot cross buns 6 pack, 0.58 , kg, 3.50, 6pk, 1
7 seeds and grains sandwich bread loaf 800g, 3.8, kg, 3.00, 0.8kg, 1
wholemeal toast bread loaf 680g, 2.9, kg, 2.00, 0.68kg, 1
multigrain rolls 6 pack, 0.33 , kg, 2.00, 6pk, 1
tiger baguette 350 gram, 5.7, kg, 2.00, NA, 1
wholemeal rolls 6 pack, 0.33 , kg, 2.00, 6pk, 1
rock cakes 6 pack, 0.67 , kg, 4.00, 6pk, 1
cinnamon donuts 6 pack, 0.33 , kg, 2.00, 6pk, 1
iced extra chocolate donuts 6 pack, 0.53 , kg, 3.15, 6pk, 1
iced donuts 6 pack, 0.53 , kg, 3.15, 6pk, 1
chocolate sponge roll 400g, 7.5, kg, 3.00, 0.4kg, 1
blueberry muffins 2 pack, 2.00 , kg, 4.00, 2pk, 1
chocolate lamington with fresh cream 400g, 11.1, kg, 5.00, 0.4kg, 1
plain bagels 4 pack, 1.13 , kg, 4.50, 4pk, 1
mini danish selection 5 pack, 0.80 , kg, 4.00, 5pk, 1
white bread 430g, 11.6, kg, 4.99, 0.43kg, 1
cottage split bread 450g, 3.3, kg, 1.50, 0.45kg, 1
organic rye bread 900g, 7.6, kg, 6.85, 0.9kg, 1
low gi bread gluten free 580g, 11.5, kg, 6.69, 0.58kg, 1
pancakes 6 pack 6 pack, 0.83 , kg, 4.99, 6pk, 1
whoolegrain barley wraps 225g, 49.9, kg, 4.99, 0.225kg, 1
soy and linseed bread gluten free, 1.21 , kg, 6.99, NA, 1
lower carb soy and toasted sesame bread loaf 700g, 7.8, kg, 5.49, 0.7kg, 1
pumpkin muffins 4 pack, 1.00 , kg, 3.99, 4pk, 1
braided brioche 400g, 17.5, kg, 6.99, 0.4kg, 1
chocolate chip cookies 250g, 18.4, kg, 4.60, 0.25kg, 1
vitastic turkish rolls 4 pack 450g, 8.0, kg, 3.60, 0.45kg, 1
turkish pide bread 400g, 9.0, kg, 3.60, 0.4kg, 1
crumpet splits 6 pack, 0.60 , kg, 3.59, 6pk, 1
chia wraps 8 inch 384g, 7.8, kg, 3.00, 0.384kg, 1
chia seed bread loaf 400g, 15.0, kg, 5.99, 0.4kg, 1
multigrain english muffins 6 pack, 0.78 , kg, 4.70, 6pk, 1
traditional butter waffles 4 pack 360g, 13.9, kg, 5.00, 0.36kg, 1
ciabatta rolls 240g, 17.5, kg, 4.20, 0.24kg, 1
pumpernickel bread 500g, 4.8, kg, 2.39, 0.5kg, 1
mini chocolate roll cake 5 pack 115g, 52.2, kg, 6.00, 0.115kg, 1
frozen belgian eclair 6 pack 180g, 40.9, kg, 7.37, 0.18kg, 1
mix max cakes 10 pack 350g, 15.7, kg, 5.50, 0.35kg, 1
blueberry muffins 4 pack, 1.13 , kg, 4.50, 4pk, 1
stoneground rye bread yeast free 620g, 9.7, kg, 6.00, 0.62kg, 1
stoneground sourdough hi fibre bread yeast free 620g, 9.7, kg, 6.00, 0.62kg, 1
pumpkin seeds bread 700g, 8.3, kg, 5.79, 0.7kg, 1
mini chocolate rolls 140g, NA, kg, N, 0.14kg, A
chocolate cake bars 130g, NA, kg, N, 0.13kg, A
coconut delight biscuits 250g, 17.0, kg, 4.25, 0.25kg, 1
ginger cake loaf 515g, 11.7, kg, 6.00, 0.515kg, 1
iced chocolate madeira cake 315g, 10.0, kg, 3.15, 0.315kg, 1
mini lemon and raspberry tarts 12 pack, 0.50 , kg, 6.00, 2pk, 1
lamington sponge roll 350g, 10.5, kg, 3.69, 0.35kg, 1
red velvet swirl cupcakes 4 pack, 1.13 , kg, 4.50, 4pk, 1
lemon cake loaf 425g, 14.1, kg, 6.00, 0.425kg, 1
mini white french sticks 2 pack, 1.50 , kg, 3.00, 2pk, 1
lemon tarts 6 pack, 0.50 , kg, 3.00, 6pk, 1
caramel indulgent donuts 4 pack, 1.25 , kg, 5.00, 4pk, 1
new york style baked cheesecake 640g, 18.8, kg, 12.00, 0.64kg, 1
new york style baked cheesecake slices 2 pack 220g, 20.5, kg, 4.50, 0.22kg, 1
tiramisu cake 475g, 25.3, kg, 12.00, 0.475kg, 1
carrot cake 575g, 20.9, kg, 12.00, 0.575kg, 1
27% fruit hot cross buns 6 pack, 0.58 , kg, 3.50, 6pk, 1
rich chocolate cake 500g, 24.0, kg, 12.00, 0.5kg, 1
fruit scones 6 pack, 0.77 , kg, 4.59, 6pk, 1
wholemeal sandwich bread loaf 680g, 2.9, kg, 2.00, 0.68kg, 1
mini iced chocolate cupcakes 9 pack, 0.52 , kg, 4.65, 9pk, 1
chocolate mud cupcakes 4 pack, 1.13 , kg, 4.50, 4pk, 1
light fruit cake 800g, 6.4, kg, 5.15, 0.8kg, 1
multigrain toast bread loaf 680g, 2.9, kg, 2.00, 0.68kg, 1
mini jam donuts 6 pack, 0.42 , kg, 2.50, 6pk, 1
