27% fruit hot cross buns 6 pack, 0.58 , kg, 3.50, 27% fruit hot cross buns 6 pack, 1
rich chocolate cake 500g, 24.0, kg, 12.00, 0.5KG, 1
fruit scones 6 pack, 0.77 , kg, 4.59, fruit scones 6 pack, 1
wholemeal sandwich bread loaf 680g, 2.9, kg, 2.00, 0.68KG, 1
mini iced chocolate cupcakes 9 pack, 0.52 , kg, 4.65, mini iced chocolate cupcakes 9 pack, 1
chocolate mud cupcakes 4 pack, 1.13 , kg, 4.50, chocolate mud cupcakes 4 pack, 1
light fruit cake 800g, 6.4, kg, 5.15, 0.8KG, 1
multigrain toast bread loaf 680g, 2.9, kg, 2.00, 0.68KG, 1
mini jam donuts 6 pack, 0.42 , kg, 2.50, mini jam donuts 6 pack, 1
unfilled rectangular sponge 450g, 11.7, kg, 5.25, 0.45KG, 1
white mud cake 600g, 10.0, kg, 6.00, 0.6KG, 1
unfilled round sponge 460g, 11.4, kg, 5.25, 0.46KG, 1
iced rainbow cupcakes 4 pack, 1.13 , kg, 4.50, iced rainbow cupcakes 4 pack, 1
mini custard tarts 6 pack, 0.75 , kg, 4.50, mini custard tarts 6 pack, 1
cheese rolls 4 pack, 0.75 , kg, 3.00, cheese rolls 4 pack, 1
chocolate chip shortbread 12 pack, 0.38 , kg, 4.50, chocolate chip shortbread 12 pack, 1
snow drops 200g, 10.0, kg, 2.00, 0.2KG, 1
hot dog rolls 6 pack, 0.33 , kg, 2.00, hot dog rolls 6 pack, 1
vol au vents 12 pack 60g, 0.29 , kg, 3.45, 0.06KG, 1
butter shortbread fingers 12 pack, 0.38 , kg, 4.50, butter shortbread fingers 12 pack, 1
mars bar cookies 8 pack, 0.41 , kg, 3.30, mars bar cookies 8 pack, 1
lamingtons with jam and cream 2 pack, 2.00 , kg, 4.00, lamingtons with jam and cream 2 pack, 1
chocolate cake tray, 12.0, kg, 12.00, 1kg, 1
pumpkin seed and purplewheat paninis 3 pack, 1.33 , kg, 4.00, pumpkin seed and purplewheat paninis 3 pack, 1
aussie donuts 6 pack, 0.53 , kg, 3.15, aussie donuts 6 pack, 1
chocolate eclair with fresh cream 2 pack, 2.00 , kg, 4.00, chocolate eclair with fresh cream 2 pack, 1
pain au chocolate 4 pack, 0.75 , kg, 3.00, pain au chocolate 4 pack, 1
iced chocolate sponge with fresh cream 435g, 11.5, kg, 5.00, 0.435KG, 1
apple danishes 2 pack, 2.00 , kg, 4.00, apple danishes 2 pack, 1
fruit and muesli cookies 6 pack, 0.58 , kg, 3.50, fruit and muesli cookies 6 pack, 1
triple chocolate cookies 6 pack, 0.58 , kg, 3.50, triple chocolate cookies 6 pack, 1
hot dog rolls 12 pack, 0.32 , kg, 3.80, hot dog rolls 12 pack, 1
wholemeal quinoa stone baked pane di casa loaf 500g, 8.0, kg, 4.00, 0.5KG, 1
stone baked white batard 300g, 11.7, kg, 3.50, 0.3KG, 1
apple and cinnamon hot cross buns 6 pack, 0.58 , kg, 3.50, apple and cinnamon hot cross buns 6 pack, 1
lamington fingers 12 pack 270g, 0.42 , kg, 5.00, 0.27KG, 1
pizza bases 2 pack, 2.75 , kg, 5.50, pizza bases 2 pack, 1
madeira cake 300g, 16.7, kg, 5.00, 0.3KG, 1
light fruit cake 800g, 4.1, kg, 3.30, 0.8KG, 1
country grain multigrain organic rye bread 680g, 10.1, kg, 6.85, 0.68KG, 1
chia rice buns gluten free 315g, 20.6, kg, 6.50, 0.315KG, 1
gingerbread babies cookies 90g, 37.8, kg, 3.40, 0.09KG, 1
very berry vanilla muffin bites 190g, 50.0, kg, 5.00, 0.19KG, 1
