woolworths mini muffin choc chip, 12.9, 0.1KG, 4.65, 0.36KG, 1
woolworths mini muffin double choc chip, 12.9, 0.1KG, 4.65, 0.36KG, 1
woolworths select muffin apple and bran, 11.9, 0.1KG, 3.80, 4pk, 1
woolworths select mini muffin raspberry, 12.9, 0.1KG, 4.65, 8pk, 1
balconi roll cacao, 13.5, 0.1KG, 2.99, 0.222KG, 1
balconi roll milk, 13.5, 0.1KG, 2.99, 0.222KG, 1
cakemark roll mini chocolate, 26.6, 0.1KG, 3.99, 0.15KG, 1
unibic shortbread italian, 10.0, 0.1KG, 4.99, 0.5KG, 1
cakemark slice brownies, 24.5, 0.1KG, 4.90, 0.2KG, 1
cakemark slice caramel shortcakes, 23.9, 0.1KG, 2.99, 0.125KG, 1
woolworth select slice apricot, 0.67, 1ea, 4.00, 6pk, 1
woolworth select slice caramel, 0.67, 1ea, 4.00, 6pk, 1
woolworth select slice rocky road, 0.67, 1ea, 4.00, 6pk, 1
loacker wafers white tortina, 34.3, 0.1KG, 4.29, 0.125KG, 1
woolworths loaf crusty cobb, 5.6, 0.1KG, 2.50, 0.45KG, 1
woolworths loaf four seed farmhouse, 5.3, 0.1KG, 3.79, 0.72KG, 1
woolworths loaf grain farmhouse, 5.3, 0.1KG, 3.79, 0.72KG, 1
woolworths fresh loaf crusty vienna, 5.6, 0.1KG, 2.50, 0.45KG, 1
woolworths fresh loaf pane di casa, 7.7, 0.1KG, 4.00, 0.52KG, 1
woolworths fresh pastry braid choc hazelnut, 1.50, 1ea, 3.00, 2pk, 1
woolworths fresh pastry cinnamon swirl, 1.50, 1ea, 3.00, 2pk, 1
woolworths fresh pastry croissant butter, 1.00, 1ea, 3.00, 3pk, 1
woolworths fresh pastry croissant medium, 14.2, 0.1KG, 3.98, 0.28KG, 1
woolworths fresh pastry croissant mini choc, 0.40, 1ea, 3.98, 10pk, 1
woolworths fresh pastry pain au chocolate, 1.50, 1ea, 3.00, 2pk, 1
woolworths fresh savoury puff triangle cheese chive, 1.50, 1ea, 3.00, 2pk, 1
woolworths fresh scone homestyle buttermilk, 0.77, 1ea, 4.60, 6pk, 1
woolworths fresh scone homestyle fruit, 0.77, 1ea, 4.60, 6pk, 1
woolworths fresh scone homestyle pumpkin, 0.77, 1ea, 4.60, 6pk, 1
woolworths fresh sourdough cobb, 7.7, 0.1KG, 4.00, 0.52KG, 1
woolworths fresh sourdough garlic and olive oil, 10.6, 0.1KG, 5.50, 0.52KG, 1
woolworths fresh sourdough kalamata olive, 10.6, 0.1KG, 5.50, 0.52KG, 1
woolworths croissants jumbo, 0.83, 1ea, 10.00, 12pk, 1
woolworths cup cakes mini iced sprinkles, 0.42, 1ea, 10.00, 24pk, 1
woolworths donuts jam ball, 0.50, 1ea, 9.00, 18pk, 1
woolworths fruit cake loaves, 2.83, 1ea, 8.49, 3pk, 1
woolworths muffin mini, 0.42, 1ea, 10.00, 24pk, 1
goodness superfoods wraps wholegrain barley, 22.2, 0.1KG, 4.99, 0.225KG, 1
helga's wraps mixed grain, 9.1, 0.1KG, 5.09, 0.56KG, 1
helga's wraps traditional white, 9.1, 0.1KG, 5.09, 0.56KG, 1
mission wraps garlic and herb, 8.8, 0.1KG, 4.99, 0.567KG, 1
mission wraps light, 8.8, 0.1KG, 4.99, 0.567KG, 1
mission wraps mini original, 12.5, 0.1KG, 4.79, 0.384KG, 1
mission wraps mini wheat, 12.5, 0.1KG, 4.79, 0.384KG, 1
mission wraps original, 8.8, 0.1KG, 4.99, 0.567KG, 1
mission wraps spinach and herb, 8.8, 0.1KG, 4.99, 0.567KG, 1
mission wraps tomato and basil, 8.8, 0.1KG, 4.99, 0.567KG, 1
mission wraps wholegrain, 8.8, 0.1KG, 4.99, 0.567KG, 1
old time wraps organic gluten free, 28.0, 0.1KG, 6.99, 4pk, 1
vitastic sorj healthy wraps rye, 0.44, 1ea, 3.49, 0.25KG, 1
vitastic sorj healthy wraps wholemeal, 0.44, 1ea, 3.49, 0.25KG, 1
