roasted salted cashews 750g, 21.33 , kg, 16.00, 0.75KG, 1
medjool dates loose  200g, 20.00 , kg, 4.00, 0.2KG, 1
dry roasted salted pistachios 500g, 26.00 , kg, 13.00, 0.5KG, 1
snow pea sprouts  100g, 32.00 , kg, 3.20, 0.1KG, 1
baby sweet corn  125g, 36.00 , kg, 4.50, 0.125KG, 1
drumhead cabbage half, 1.50 , kg, 1.50, drumhead cabbage half 1 each, 1
asian choy sum 1 bunch, 1.98 , kg, 1.98, asian choy sum 1 bunch, 1
silverbeet 1 bunch, 4.48 , kg, 4.48, silverbeet 1 bunch, 1
symphony lettuce, 1.98 , kg, 1.98, symphony lettuce 1 each, 1
mandarins, 8.99 , kg, 1.17, mandarins 1 each, 1
juicing carrots 2.5kg, 1.19 , kg, 2.98, juicing carrots 2.5kg, 1
black seedless grapes loose  800g, 5.98 , kg, 4.78, 0.8KG, 1
fruit salad pot 300g, 13.33 , kg, 4.00, 0.3KG, 1
soy crisps 350g, 17.14 , kg, 6.00, 0.35KG, 1
pasta salad 800g, 9.38 , kg, 7.50, 0.8KG, 1
top on pineapple, 4.90 , kg, 4.90, top on pineapple 1 each, 1
red papaya, 5.90 , kg, 3.84, red papaya 1 each, 1
butternut pumpkin whole, 3.48 , kg, 6.96, butternut pumpkin whole 1 each, 1
red oak lettuce, 1.98 , kg, 1.98, red oak lettuce 1 each, 1
r2e2 mangoes, 3.50 , kg, 3.50, r2e2 mangoes 1 each, 1
lychees loose  400g, 12.90 , kg, 5.16, 0.4KG, 1
artisan cherry vine tomatoes  130g, NA, kg, N, 0.13KG, A
vietnamese salad kit  210g, 26.19 , kg, 5.50, 0.21KG, 1
vegetable box, 22.00 , kg, 22.00, vegetable box 1 each, 1
fruit and nut trail mix 400g, 13.73 , kg, 5.49, 0.4KG, 1
asian salad kit 260g, 21.15 , kg, 5.50, 0.26KG, 1
baby potatoes with herb butter 400g, 10.00 , kg, 4.00, 0.4KG, 1
australian potato carrot and pumpkin roast vegetables 900g, 7.78 , kg, 7.00, 0.9KG, 1
spinach and red beetroot leaves salad  120g, 25.00 , kg, 3.00, 0.12KG, 1
gourmet lettuce mix loose  200g, 16.98 , kg, 3.40, 0.2KG, 1
yellow paw paws, 5.90 , kg, 5.31, yellow paw paws 1 each, 1
sliced brown mushrooms  200g, 21.40 , kg, 4.28, 0.2KG, 1
organic brushed potatoes, 2.99 , kg, 5.98, organic brushed potatoes prepacked 2kg, 1
amoroso truss tomatoes  250g, 17.92 , kg, 4.48, 0.25KG, 1
mini seedless watermelon, 4.90 , kg, 4.90, mini seedless watermelon 1 each, 1
