hoyts basil, 1.22, 0.01KG, 1.83, 15g, 1
masterfoods bouquet garni sachet, 9.65, 0.01KG, 3.86, 4g, 1
bovril bovril, 0.50, 0.01KG, 6.22, 125g, 1
hoyts cardamon pods, 2.69, 0.01KG, 2.69, 10g, 1
masterfoods cardamon ground, 1.31, 0.01KG, 4.60, 35g, 1
woolworths  cardamon ground, 1.15, 0.01KG, 2.77, 24g, 1
masterfoods celery salt, 0.34, 0.01KG, 1.92, 57g, 1
galiko all natural chilli minced jar, 18.5, 0.1KG, 2.68, 145g, 1
hoyts chilli dry, 0.72, 0.01KG, 1.81, 25g, 1
hoyts chilli powder, 0.33, 0.01KG, 1.67, 50g, 1
masterfoods chilli chooped  jar, 0.20, 0.01KG, 3.23, 160g, 1
masterfoods chilli flakes, 1.73, 0.01KG, 3.11, 18g, 1
masterfoods chilli ground, 1.20, 0.01KG, 3.23, 27g, 1
masterfoods chilli powder mexican, 1.08, 0.01KG, 3.23, 30g, 1
woolworths  chilli flakes, 1.10, 0.01KG, 2.54, 23g, 1
woolworths  chilli ground, 0.90, 0.01KG, 2.71, 30g, 1
masterfoods chinese 5 spice, 0.99, 0.01KG, 2.96, 30g, 1
woolworths  chinese five spice, 0.90, 0.01KG, 2.26, 25g, 1
hoyts chives, 1.40, 0.01KG, 2.10, 15g, 1
masterfoods chives chopped, 7.34, 0.01KG, 5.14, 7g, 1
woolworths  chives chopped, 11.55, 0.01KG, 2.31, 2g, 1
woolworths  chives chopped, 5.91, 0.01KG, 4.14, 7g, 1
hoyts cinnamon dutch, 0.29, 0.01KG, 4.29, 150g, 1
hoyts cinnamon dutch ground, 0.60, 0.01KG, 1.49, 25g, 1
hoyts cinnamon sticks, 1.50, 0.01KG, 2.25, 15g, 1
hoyts cinnamon sugar, 0.27, 0.01KG, 1.92, 70g, 1
masterfoods cinnamon ground, 0.95, 0.01KG, 2.67, 28g, 1
masterfoods cinnamon quills, 3.03, 0.01KG, 3.64, 12g, 1
masterfoods cinnamon sugar, 0.39, 0.01KG, 2.14, 55g, 1
woolworths  cinnamon ground, 0.62, 0.01KG, 1.99, 32g, 1
woolworths  cinnamon sugar, 0.32, 0.01KG, 1.90, 59g, 1
hoyts cloves whole, 1.21, 0.01KG, 1.81, 15g, 1
masterfoods cloves ground, 1.77, 0.01KG, 4.60, 26g, 1
masterfoods cloves whole, 2.23, 0.01KG, 4.46, 20g, 1
woolworths  cloves ground, 1.35, 0.01KG, 4.05, 30g, 1
woolworths  cloves whole, 1.59, 0.01KG, 3.98, 25g, 1
hoyts coriander ground, 0.62, 0.01KG, 1.56, 25g, 1
hoyts coriander seed whole, 0.54, 0.01KG, 1.34, 25g, 1
masterfoods coriander ground, 0.97, 0.01KG, 2.42, 25g, 1
woolworths  coriander seeds ground, 0.94, 0.01KG, 1.88, 20g, 1
hoyts cumin ground, 0.84, 0.01KG, 2.10, 25g, 1
hoyts cumin seeds whole, 0.81, 0.01KG, 2.03, 25g, 1
masterfoods cumin ground, 1.14, 0.01KG, 2.85, 25g, 1
masterfoods cumin seeds whole, 1.21, 0.01KG, 3.39, 28g, 1
woolworths  cumin ground, 0.77, 0.01KG, 2.31, 30g, 1
clive of india curry powder, 0.37, 0.01KG, 3.68, 100g, 1
hoyts curry powder mild, 0.40, 0.01KG, 1.99, 50g, 1
keens curry powder, 0.53, 0.01KG, 3.17, 60g, 1
keens curry powder, 0.42, 0.01KG, 5.00, 120g, 1
woolworths  dill, 2.69, 0.01KG, 2.69, 10g, 1
hoyts pickling dried spices, 0.61, 0.01KG, 2.14, 35g, 1
masterfoods dried spices harissa middle eastern blend, 0.98, 0.01KG, 3.64, 37g, 1
hoyts garam masala, 0.84, 0.01KG, 2.10, 25g, 1
masterfoods garam masala, 0.99, 0.01KG, 2.97, 30g, 1
woolworths  garam masala, 0.91, 0.01KG, 2.63, 29g, 1
always  garlic minced jar, 0.08, 0.01KG, 3.39, 400g, 1
galiko all natural garlic minced jar, 18.5, 0.1KG, 2.68, 145g, 1
homebrand garlic minced, 0.05, 0.01KG, 2.69, 500g, 1
homebrand garlic minced jar, 0.06, 0.01KG, 1.39, 250g, 1
hoyts garlic granules, 0.44, 0.01KG, 1.77, 40g, 1
hoyts garlic powder, 0.62, 0.01KG, 1.56, 25g, 1
masterfoods garlic and herb blend no added salt, 0.81, 0.01KG, 2.99, 37g, 1
masterfoods garlic ly crushed, 0.19, 0.01KG, 3.23, 170g, 1
masterfoods garlic granulated, 0.39, 0.01KG, 6.12, 155g, 1
masterfoods garlic granulated, 0.64, 0.01KG, 3.21, 50g, 1
masterfoods garlic herb salt, 0.38, 0.01KG, 2.34, 62g, 1
masterfoods garlic pepper, 0.68, 0.01KG, 3.39, 50g, 1
masterfoods garlic powder, 0.39, 0.01KG, 5.98, 155g, 1
masterfoods garlic powder, 0.64, 0.01KG, 3.18, 50g, 1
masterfoods garlic salt, 0.18, 0.01KG, 3.69, 210g, 1
masterfoods garlic salt, 0.28, 0.01KG, 1.97, 70g, 1
the food company garlic chopped, 0.10, 0.01KG, 3.60, 375g, 1
woolworths  garlic paste australian, 28.5, 0.1KG, 3.99, 140g, 1
woolworths  garlic granules, 0.58, 0.01KG, 2.63, 45g, 1
woolworths  garlic granules, 0.31, 0.01KG, 4.09, 130g, 1
woolworths  garlic powder, 0.31, 0.01KG, 4.16, 135g, 1
woolworths  garlic powder, 0.53, 0.01KG, 2.64, 50g, 1
galiko all natural ginger minced jar, 18.5, 0.1KG, 2.68, 145g, 1
hoyts ginger ground, 0.40, 0.01KG, 1.99, 50g, 1
masterfoods ginger chopped  jar, 0.20, 0.01KG, 3.23, 160g, 1
masterfoods ginger ground, 0.98, 0.01KG, 2.46, 25g, 1
woolworths  ginger ground, 0.88, 0.01KG, 2.20, 25g, 1
hoyts italian herb mix, 0.85, 0.01KG, 2.96, 35g, 1
masterfoods italian dried herbs, 2.53, 0.01KG, 2.53, 10g, 1
masterfoods italian dried herbs, 1.96, 0.01KG, 5.89, 30g, 1
woolworths  italian dried herbs, 2.14, 0.01KG, 2.14, 10g, 1
hoyts bay leaves, 0.93, 0.01KG, 1.40, 15g, 1
masterfoods leaves marjoram, 4.48, 0.01KG, 2.69, 6g, 1
masterfoods basil leaves sweet, 2.42, 0.01KG, 2.42, 10g, 1
masterfoods bay leaves, 17.70, 0.01KG, 3.54, 2g, 1
masterfoods coriander leaves, 7.20, 0.01KG, 3.60, 5g, 1
masterfoods oregano leaves, 4.90, 0.01KG, 2.45, 5g, 1
masterfoods rosemary leaves, 1.34, 0.01KG, 2.14, 16g, 1
masterfoods sage leaves ground, 1.34, 0.01KG, 2.67, 20g, 1
masterfoods tarragon leaves, 4.44, 0.01KG, 3.11, 7g, 1
woolworths  basil leaves, 2.09, 0.01KG, 2.09, 10g, 1
woolworths  coriander leaves, 6.40, 0.01KG, 3.20, 5g, 1
woolworths  marjoram leaves, 4.12, 0.01KG, 2.47, 6g, 1
woolworths  oregano leaves, 1.92, 0.01KG, 1.92, 10g, 1
woolworths  rosemary leaves, 0.78, 0.01KG, 1.40, 18g, 1
woolworths  thyme leaves, 2.11, 0.01KG, 2.53, 12g, 1
hoyts lemon pepper, 0.45, 0.01KG, 2.26, 50g, 1
masterfoods lemon pepper, 0.31, 0.01KG, 5.21, 170g, 1
woolworths  mint flakes, 2.39, 0.01KG, 1.67, 7g, 1
hoyts mixed herbs, 0.62, 0.01KG, 1.56, 25g, 1
masterfoods mixed herbs dried, 2.13, 0.01KG, 2.13, 10g, 1
