reboot your life fresh juice red roar, NA, NA, 7.99, 1l, 1
reboot your life fresh juice the big bang, 7.99, $7.99 / 1l, 7.99, 1l, 1
fresh achacha, 7.98, 1kg, 7.98, 1kg, 1
fresh apple granny smith, NA, NA, 5.98, 1kg, 1
fresh apple granny smith, 5.98, 1kg, 1.05, each, 1
fresh apple looney tunes, 4.98, 1kg, 4.98, 1kg, 1
fresh apple pink lady, 6.48, 1kg, 1.13, each, 1
fresh apple pink lady, NA, NA, 6.48, 1kg, 1
fresh apple pink lady premium, 1.75, 1ea, 6.98, 4pk, 1
fresh apple red delicious, 4.98, 1kg, 0.87, each, 1
fresh apple royal gala, 4.48, 1kg, 0.78, each, 1
fresh apple royal gala, NA, NA, 4.80, 1kg, 1
fresh apple royal gala organic, NA, NA, 6.98, 1kg, 1
fresh apple sundowner, NA, NA, 5.98, 1kg, 1
the odd bunch apple prepack, NA, NA, 2.98, 1kg, 1
fresh apricot, 6.97, 1kg, 1.12, each, 1
avofresh avocado tub chunky plain, 34.4, 0.1KG, 5.50, 0.16KG, 1
avofresh avocado tub chunky seasoned, 34.4, 0.1KG, 5.50, 0.16KG, 1
avofresh avocado tub chunky spicy, 34.4, 0.1KG, 5.50, 0.16KG, 1
avofresh avocado tub firm plain, 34.4, 0.1KG, 5.50, 0.16KG, 1
avofresh avocado tube soft seasoned, 34.4, 0.1KG, 5.50, 0.16KG, 1
avofresh avocado tube soft spicy, 34.4, 0.1KG, 5.50, 0.16KG, 1
fresh avocado hass imported, 1.99, 1ea, 5.98, 3pk, 1
fresh avocado hass imported, NA, NA, 2.98, each, 1
fresh banana, 2.99, 1kg, 0.54, each, 1
fresh banana lady finger, 7.90, 1kg, 1.58, each, 1
fresh banana looney tunes, 3.98, 1kg, 3.98, 1kg, 1
fresh banana organic, 3.50, 1kg, 0.63, each, 1
fresh banana red tipped, 4.98, 1kg, 1.00, each, 1
fresh berries blackberry, 39.84, 1kg, 4.98, 0.125KG, 1
fresh berries blueberry, 43.84, 1kg, 5.48, 0.125KG, 1
fresh berries blueberry, 43.75, 1kg, 3.50, 0.08KG, 1
fresh berries blueberry, 39.04, 1kg, 8.98, 0.23KG, 1
fresh berries blueberry organic, 63.84, 1kg, 7.98, 0.125KG, 1
fresh berries raspberry, 39.84, 1kg, 4.98, 0.125KG, 1
fresh berries strawberry with lid, 15.12, 1kg, 3.78, 0.25KG, 1
fresh berry farm berries in sauce blueberry, 19.90, 1kg, 3.98, 0.2KG, 1
fresh berry farm berries in sauce boysenberry, 19.90, 1kg, 3.98, 0.2KG, 1
fresh berry farm berries in sauce mango passionfruit, 19.90, 1kg, 3.98, 0.2KG, 1
fresh berry farm berries in sauce raspberry, 19.90, 1kg, 3.98, 0.2KG, 1
